logical_id,naptan_tube,station_name,name_key,fare_zone,lift_count,step_free_platform_count,accessible_toilet_count,accessibility_type,ramp_platform_count,mean_gap_mm,crowding_peak,crowding_evening,has_planned_closure,has_live_lift_issue,predicted_temp_c,pac_score
940GZZLUSWN,940GZZLUSWN,South Wimbledon Underground Station,south wimbledon,3+4,0.0,0.0,0.0,0.0,0.0,,0.0335,0.0205,0,0,27.9,
940GZZLUSWF,940GZZLUSWF,South Woodford Underground Station,south woodford,4,0.0,0.0,0.0,1.0,2.0,,0.225,0.1743333333333333,0,0,30.1,
940GZZLUSFS,940GZZLUSFS,Southfields Underground Station,southfields,3,1.0,0.0,0.0,2.0,0.0,42.5,0.041,0.0275,0,0,25.2,
940GZZLUSGT,940GZZLUSGT,Southgate Underground Station,southgate,4,0.0,0.0,0.0,0.0,0.0,,0.1803333333333333,0.1808333333333333,0,0,27.1,
940GZZLUSWK,940GZZLUSWK,Southwark Underground Station,southwark,1,2.0,0.0,0.0,2.0,0.0,42.5,0.0561666666666666,0.06,0,0,25.9,
940GZZLUSJP,940GZZLUSJP,St. James's Park Underground Station,st james's park,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,25.2,
940GZZLUSJW,940GZZLUSJW,St. John's Wood Underground Station,st john's wood,2,0.0,0.0,1.0,0.0,0.0,,0.2323333333333333,0.2591666666666666,0,0,25.9,
940GZZLUSPU,940GZZLUSPU,St. Paul's Underground Station,st paul's,1,0.0,0.0,0.0,0.0,0.0,,0.2726666666666666,0.3131666666666666,0,0,30.1,
940GZZLUSFB,940GZZLUSFB,Stamford Brook Underground Station,stamford brook,2,0.0,0.0,0.0,0.0,0.0,,0.256,0.2331666666666666,0,0,25.2,
940GZZLUSTM,940GZZLUSTM,Stanmore Underground Station,stanmore,5,0.0,0.0,1.0,1.0,3.0,95.0,0.1903333333333333,0.1725,0,0,25.9,
940GZZLUSGN,940GZZLUSGN,Stepney Green Underground Station,stepney green,2,0.0,0.0,0.0,0.0,0.0,,0.4876666666666667,0.4876666666666667,0,0,25.2,
940GZZLUSKW,940GZZLUSKW,Stockwell Underground Station,stockwell,2,0.0,4.0,0.0,3.0,0.0,42.5,0.408,0.4036666666666667,0,0,30.0,
HUBSBP,940GZZLUSGP,Stonebridge Park Underground Station,stonebridge park,3,0.0,0.0,0.0,0.0,0.0,,0.2855,0.257,0,0,30.0,
HUBSRA,940GZZLUSTD,Stratford Underground Station,stratford,2/3,17.0,0.0,2.0,2.0,3.0,42.5,0.3146666666666666,0.3588333333333333,0,0,30.1,
940GZZLUSUH,940GZZLUSUH,Sudbury Hill Underground Station,sudbury hill,4,2.0,0.0,0.0,2.0,2.0,,0.1003333333333333,0.0758333333333333,0,0,27.1,
940GZZLUSUT,940GZZLUSUT,Sudbury Town Underground Station,sudbury town,4,0.0,0.0,0.0,1.0,2.0,107.5,0.0288333333333333,0.0143333333333333,0,0,27.1,
940GZZLUSWC,940GZZLUSWC,Swiss Cottage Underground Station,swiss cottage,2,0.0,0.0,0.0,0.0,0.0,,0.3573333333333333,0.402,0,0,25.9,
940GZZLUTMP,940GZZLUTMP,Temple Underground Station,temple,1,0.0,0.0,0.0,0.0,0.0,,0.2873333333333334,0.3805,0,0,25.2,
940GZZLUTHB,940GZZLUTHB,Theydon Bois Underground Station,theydon bois,6,0.0,0.0,0.0,1.0,1.0,220.0,0.1415,0.0773333333333333,0,0,30.1,
940GZZLUTBC,940GZZLUTBC,Tooting Bec Underground Station,tooting bec,3,0.0,0.0,0.0,0.0,0.0,,0.2548333333333333,0.19,0,0,27.9,
940GZZLUTBY,940GZZLUTBY,Tooting Broadway Underground Station,tooting broadway,3,0.0,0.0,0.0,0.0,0.0,,0.4051666666666666,0.3526666666666667,0,0,27.9,
HUBTCR,940GZZLUTCR,Tottenham Court Road Underground Station,tottenham court road,1,9.0,2.0,1.0,3.0,2.0,42.5,0.2521666666666667,0.4118333333333333,0,0,30.1,
HUBTOM,940GZZLUTMH,Tottenham Hale Underground Station,tottenham hale,3,3.0,2.0,1.0,3.0,0.0,42.5,0.3968333333333333,0.3853333333333333,0,0,30.0,
940GZZLUTAW,940GZZLUTAW,Totteridge & Whetstone Underground Station,totteridge & whetstone,4,0.0,0.0,0.0,0.0,0.0,,0.2086666666666666,0.1355,0,0,27.9,
940GZZLUTWH,940GZZLUTWH,Tower Hill Underground Station,tower hill,1,2.0,0.0,0.0,2.0,6.0,,0.4116666666666667,0.5668333333333333,0,0,25.2,
940GZZLUTFP,940GZZLUTFP,Tufnell Park Underground Station,tufnell park,2,0.0,0.0,0.0,0.0,0.0,,0.2625,0.2375,0,0,27.9,
940GZZLUTNG,940GZZLUTNG,Turnham Green Underground Station,turnham green,2+3,0.0,0.0,0.0,0.0,0.0,76.8,0.1796666666666666,0.19,0,0,27.1,
940GZZLUTPN,940GZZLUTPN,Turnpike Lane Underground Station,turnpike lane,3,0.0,0.0,0.0,0.0,0.0,,0.4188333333333333,0.3783333333333333,0,0,27.1,
940GZZLUUPB,940GZZLUUPB,Upminster Bridge Underground Station,upminster bridge,6,0.0,0.0,0.0,0.0,0.0,,0.1543333333333333,0.1063333333333333,0,0,25.2,
HUBUPM,940GZZLUUPM,Upminster Underground Station,upminster,6,3.0,0.0,1.0,2.0,0.0,42.5,0.1286666666666666,0.1461666666666666,0,0,25.2,
940GZZLUUPY,940GZZLUUPY,Upney Underground Station,upney,4,0.0,0.0,0.0,0.0,0.0,42.5,0.2605,0.2055,0,0,25.2,
940GZZLUUPK,940GZZLUUPK,Upton Park Underground Station,upton park,3,0.0,0.0,0.0,0.0,0.0,,0.3446666666666667,0.3456666666666666,0,0,25.2,
