logical_id,naptan_tube,station_name,name_key,fare_zone,line_ids,lat,lon
HUBSRA,940GZZLUSTD,Stratford Underground Station,stratford,2/3,central;jubilee,51.541806,-0.003458
940GZZLUSUH,940GZZLUSUH,Sudbury Hill Underground Station,sudbury hill,4,piccadilly,51.556946,-0.336435
940GZZLUSUT,940GZZLUSUT,Sudbury Town Underground Station,sudbury town,4,piccadilly,51.550815,-0.315745
940GZZLUSWC,940GZZLUSWC,Swiss Cottage Underground Station,swiss cottage,2,jubilee,51.543681,-0.174894
940GZZLUTMP,940GZZLUTMP,Temple Underground Station,temple,1,circle;district,51.511006,-0.11426
940GZZLUTHB,940GZZLUTHB,Theydon Bois Underground Station,theydon bois,6,central,51.671759,0.103085
940GZZLUTBC,940GZZLUTBC,Tooting Bec Underground Station,tooting bec,3,northern,51.435678,-0.159736
940GZZLUTBY,940GZZLUTBY,Tooting Broadway Underground Station,tooting broadway,3,northern,51.42763,-0.168374
HUBTCR,940GZZLUTCR,Tottenham Court Road Underground Station,tottenham court road,1,central;northern,51.516426,-0.13041
HUBTOM,940GZZLUTMH,Tottenham Hale Underground Station,tottenham hale,3,victoria,51.588108,-0.060241
940GZZLUTAW,940GZZLUTAW,Totteridge & Whetstone Underground Station,totteridge & whetstone,4,northern,51.630597,-0.17921
940GZZLUTWH,940GZZLUTWH,Tower Hill Underground Station,tower hill,1,circle;district,51.509971,-0.076546
940GZZLUTFP,940GZZLUTFP,Tufnell Park Underground Station,tufnell park,2,northern,51.556822,-0.138433
940GZZLUTNG,940GZZLUTNG,Turnham Green Underground Station,turnham green,2+3,district;piccadilly,51.495148,-0.254555
940GZZLUTPN,940GZZLUTPN,Turnpike Lane Underground Station,turnpike lane,3,piccadilly,51.590272,-0.102953
940GZZLUUPB,940GZZLUUPB,Upminster Bridge Underground Station,upminster bridge,6,district,51.55856,0.235809
HUBUPM,940GZZLUUPM,Upminster Underground Station,upminster,6,district,51.559063,0.250882
940GZZLUUPY,940GZZLUUPY,Upney Underground Station,upney,4,district,51.538372,0.10153
940GZZLUUPK,940GZZLUUPK,Upton Park Underground Station,upton park,3,district;hammersmith-city,51.53534,0.035263
940GZZLUUXB,940GZZLUUXB,Uxbridge Underground Station,uxbridge,6,metropolitan;piccadilly,51.546565,-0.477949
HUBVXH,940GZZLUVXL,Vauxhall Underground Station,vauxhall,1+2,victoria,51.485743,-0.124204
