route_id,min_step_free,min_accessibility,max_gap_mm,min_lift_count,any_lift_issue,any_closure,mean_crowding_peak,route_temp,num_interchanges,zone_span,goal,pac_formula,human_label_1to5,label_good,mean_accessibility,prop_stepfree
R303,0.0,0.0,86.5,0.0,0,0,0.30420138888888887,30.1,3,5.0,comfort,0.3544,4.0,1,1.2916666666666667,0.5833333333333334
R304,0.0,0.0,53.5,0.0,0,0,0.2860888888888889,30.1,3,2.0,punctuality,0.3571,3.0,0,1.3333333333333333,0.5333333333333333
R305,0.0,0.0,53.5,0.0,0,0,0.2972916666666667,30.1,3,2.0,accessibility,0.3554,3.0,0,1.4375,0.5625
R306,0.0,0.0,91.8,0.0,0,0,0.24607575757575753,30.1,3,3.0,comfort,0.3631,3.0,0,1.8181818181818181,0.7272727272727273
R307,0.0,0.0,91.8,0.0,0,0,0.2506111111111111,30.1,3,3.0,punctuality,0.3624,3.0,0,1.6666666666666667,0.6666666666666666
R308,0.0,0.0,126.5,0.0,0,0,0.23928666666666662,30.0,1,5.0,accessibility,0.3974,3.0,0,1.2,0.48
R309,0.0,0.0,126.5,0.0,0,0,0.24222666666666665,30.1,4,5.0,comfort,0.347,3.0,0,1.2,0.48
R310,0.0,0.0,118.0,0.0,0,0,0.19877430555555553,30.0,2,5.0,punctuality,0.3869,2.0,0,1.434782608695652,0.6086956521739131
R311,0.0,0.0,118.0,0.0,0,0,0.18458680555555554,30.0,3,5.0,accessibility,0.3723,2.0,0,1.3478260869565217,0.5652173913043478
R312,0.0,0.0,42.5,0.0,0,0,0.22455555555555554,30.1,1,1.0,comfort,0.3996,5.0,1,0.5555555555555556,0.2222222222222222
R313,0.0,0.0,42.5,0.0,0,0,0.2064,30.1,2,1.0,punctuality,0.3857,4.0,1,0.5,0.2
R314,0.0,0.0,91.8,0.0,0,0,0.24067777777777774,30.1,4,2.0,accessibility,0.3472,2.0,0,1.5333333333333334,0.6
R315,0.0,0.0,91.8,0.0,0,0,0.23429999999999992,30.1,4,2.0,comfort,0.3482,1.0,0,1.5333333333333334,0.6
R316,0.0,0.0,213.0,0.0,0,0,0.2615659722222222,30.1,4,3.0,punctuality,0.3441,2.0,0,1.25,0.5416666666666666
R317,0.0,0.0,213.0,0.0,0,0,0.24737847222222223,30.1,5,3.0,accessibility,0.3296,2.0,0,1.1666666666666667,0.5
R318,0.0,0.0,126.5,0.0,0,0,0.24235555555555552,30.1,3,4.0,comfort,0.3636,4.0,1,1.3333333333333333,0.5333333333333333
R319,0.0,0.0,126.5,0.0,0,0,0.23659999999999998,30.1,3,4.0,punctuality,0.3645,4.0,1,1.1333333333333333,0.4666666666666667
R320,0.0,0.0,42.5,0.0,0,0,0.25833333333333336,30.0,1,0.0,accessibility,0.3946,4.0,1,0.4,0.2
R321,0.0,0.0,42.5,0.0,0,0,0.2508888888888889,30.0,2,0.0,comfort,0.379,3.0,0,0.3333333333333333,0.16666666666666666
R322,0.0,0.0,118.0,0.0,0,0,0.2381071428571429,30.1,2,3.0,punctuality,0.381,2.0,0,1.1904761904761905,0.47619047619047616
R323,0.0,0.0,118.0,0.0,0,0,0.24490079365079373,30.1,3,3.0,accessibility,0.3633,2.0,0,1.2380952380952381,0.47619047619047616
R324,0.0,0.0,67.5,0.0,0,0,0.12826666666666664,30.1,0,2.0,comfort,0.4308,5.0,1,0.5,0.2
R325,0.0,0.0,118.0,0.0,0,0,0.17715909090909088,30.1,3,2.0,punctuality,0.3734,3.0,0,1.0909090909090908,0.45454545454545453
R326,0.0,0.0,42.5,0.0,0,0,0.3392179487179487,30.1,3,3.0,accessibility,0.3491,4.0,1,1.0,0.38461538461538464
R327,0.0,0.0,42.5,0.0,0,0,0.3392619047619047,30.1,5,3.0,comfort,0.3158,4.0,1,1.0714285714285714,0.42857142857142855
R328,0.0,0.0,126.5,0.0,0,0,0.17273333333333327,27.1,1,1.0,punctuality,0.4074,5.0,1,1.1,0.5
R329,0.0,0.0,42.5,0.0,0,0,0.32530952380952377,30.1,3,4.0,accessibility,0.3512,4.0,1,1.0714285714285714,0.42857142857142855
R330,0.0,0.0,42.5,0.0,0,0,0.3211111111111112,30.1,2,4.0,comfort,0.3685,1.0,0,1.0,0.4
R331,0.0,0.0,42.5,0.0,0,0,0.14214285714285713,30.0,2,1.0,punctuality,0.3953,3.0,0,2.0,0.7142857142857143
R332,0.0,0.0,42.5,0.0,0,0,0.2819074074074074,30.1,4,1.0,accessibility,0.341,3.0,0,2.3333333333333335,0.7777777777777778
R333,0.0,0.0,42.5,0.0,0,0,0.3534561403508772,30.1,6,4.0,comfort,0.297,3.0,0,1.3157894736842106,0.5263157894736842
R334,0.0,0.0,53.5,0.0,0,0,0.3670701754385965,30.1,5,4.0,punctuality,0.3116,3.0,0,1.5789473684210527,0.631578947368421
R335,0.0,0.0,220.0,0.0,0,0,0.23689516129032256,30.1,3,5.0,accessibility,0.3645,2.0,0,1.2258064516129032,0.6129032258064516
R336,0.0,0.0,220.0,0.0,0,0,0.2259112903225806,30.1,4,5.0,comfort,0.3494,2.0,0,1.1612903225806452,0.5806451612903226
R337,0.0,0.0,53.5,0.0,0,0,0.3231969696969697,30.1,2,5.0,punctuality,0.3682,2.5,0,1.2272727272727273,0.5454545454545454
R338,0.0,0.0,42.5,0.0,0,0,0.31143939393939396,30.1,2,5.0,accessibility,0.37,2.0,0,1.0,0.45454545454545453
R339,0.0,0.0,77.2,0.0,0,0,0.2655666666666666,30.1,1,1.0,comfort,0.3935,3.0,0,1.2666666666666666,0.5333333333333333
R340,0.0,0.0,42.5,0.0,0,0,0.25046874999999996,30.1,4,1.0,punctuality,0.3458,1.0,0,1.25,0.5
R341,0.0,0.0,77.2,0.0,0,0,0.3297857142857143,30.1,5,1.0,accessibility,0.3172,2.0,0,1.7142857142857142,0.7142857142857143
R342,0.0,0.0,77.2,0.0,0,0,0.306,30.1,2,1.0,comfort,0.3708,3.0,0,1.6428571428571428,0.7142857142857143
R343,0.0,0.0,94.8,0.0,0,0,0.2781228070175439,30.0,2,3.0,punctuality,0.3749,3.0,0,1.3157894736842106,0.5263157894736842
